ENSG00000197409 ENSG00000276966
ENSG00000136522 ENSG00000161204
ENSG00000065518 ENSG00000114491
ENSG00000062194 ENSG00000085231
ENSG00000104643 ENSG00000147457
ENSG00000114416 ENSG00000198836
ENSG00000120156 ENSG00000128567
ENSG00000088325 ENSG00000168078
ENSG00000161888 ENSG00000198901
ENSG00000169951 ENSG00000169955
ENSG00000167513 ENSG00000167900
ENSG00000197057 ENSG00000271503
ENSG00000104679 ENSG00000175324
ENSG00000124635 ENSG00000196787
ENSG00000106723 ENSG00000148187
ENSG00000113658 ENSG00000181904
ENSG00000131747 ENSG00000158402
ENSG00000241360 ENSG00000261221
ENSG00000012048 ENSG00000094804
ENSG00000086730 ENSG00000163563
ENSG00000167962 ENSG00000187555
ENSG00000116906 ENSG00000118873
ENSG00000131747 ENSG00000142945
ENSG00000088325 ENSG00000171241
ENSG00000034693 ENSG00000164484
ENSG00000137955 ENSG00000166012
ENSG00000133742 ENSG00000158578
ENSG00000051180 ENSG00000094804
ENSG00000014138 ENSG00000093009
ENSG00000144747 ENSG00000187098
ENSG00000074181 ENSG00000182963
ENSG00000164609 ENSG00000164902
ENSG00000008952 ENSG00000163964
ENSG00000126883 ENSG00000165699
ENSG00000009844 ENSG00000120265
ENSG00000149090 ENSG00000174807
ENSG00000121060 ENSG00000189319
ENSG00000141380 ENSG00000141759
ENSG00000146670 ENSG00000164087
ENSG00000081307 ENSG00000138246
ENSG00000085377 ENSG00000135587
ENSG00000147533 ENSG00000168522
ENSG00000112339 ENSG00000120438
ENSG00000148396 ENSG00000160445
ENSG00000066777 ENSG00000121022
ENSG00000065328 ENSG00000101412
ENSG00000163930 ENSG00000172046
ENSG00000158526 ENSG00000175550
ENSG00000161847 ENSG00000213638
ENSG00000132153 ENSG00000172046
ENSG00000150045 ENSG00000198574
ENSG00000014919 ENSG00000151893
ENSG00000115661 ENSG00000115694
ENSG00000114520 ENSG00000206527
ENSG00000114021 ENSG00000182504
ENSG00000135114 ENSG00000137965
ENSG00000077380 ENSG00000163798
ENSG00000178338 ENSG00000196670
ENSG00000089195 ENSG00000179041
ENSG00000104388 ENSG00000140396
ENSG00000115946 ENSG00000247626
ENSG00000119689 ENSG00000257365
ENSG00000127564 ENSG00000167900
ENSG00000047410 ENSG00000127914
ENSG00000104967 ENSG00000105538
ENSG00000080986 ENSG00000117399
ENSG00000048707 ENSG00000198793
ENSG00000016864 ENSG00000163930
ENSG00000182986 ENSG00000213793
ENSG00000104643 ENSG00000198791
ENSG00000119392 ENSG00000148308
ENSG00000147475 ENSG00000158669
ENSG00000118518 ENSG00000168438
ENSG00000105939 ENSG00000167291
ENSG00000036054 ENSG00000081154
ENSG00000110841 ENSG00000174236
ENSG00000136573 ENSG00000163534
ENSG00000009844 ENSG00000112306
ENSG00000074181 ENSG00000173546
ENSG00000144445 ENSG00000197713
ENSG00000163848 ENSG00000182504
ENSG00000153975 ENSG00000197498
ENSG00000166136 ENSG00000214655
ENSG00000119397 ENSG00000127914
ENSG00000101365 ENSG00000112855
ENSG00000164902 ENSG00000205302
ENSG00000163807 ENSG00000179152
ENSG00000158856 ENSG00000168495
ENSG00000102401 ENSG00000126945
ENSG00000112742 ENSG00000165480
ENSG00000204967 ENSG00000255408
ENSG00000182782 ENSG00000255398
ENSG00000107404 ENSG00000116786
ENSG00000107796 ENSG00000159176
ENSG00000153037 ENSG00000197451
ENSG00000116752 ENSG00000117133
ENSG00000131013 ENSG00000186625
ENSG00000185022 ENSG00000197019
ENSG00000026950 ENSG00000111801
ENSG00000070476 ENSG00000181789
ENSG00000154473 ENSG00000165637
ENSG00000121864 ENSG00000163558
ENSG00000130227 ENSG00000173273
ENSG00000141933 ENSG00000197483
ENSG00000104660 ENSG00000104671
ENSG00000111665 ENSG00000166851
ENSG00000110777 ENSG00000132465
ENSG00000117650 ENSG00000138160
ENSG00000120925 ENSG00000173273
ENSG00000113141 ENSG00000164609
ENSG00000082515 ENSG00000177556
ENSG00000158526 ENSG00000270647
ENSG00000130024 ENSG00000196591
ENSG00000099795 ENSG00000174886
ENSG00000128708 ENSG00000162972
ENSG00000134982 ENSG00000164209
ENSG00000137776 ENSG00000160633
ENSG00000167613 ENSG00000203747
ENSG00000110075 ENSG00000168092
ENSG00000102241 ENSG00000138385
ENSG00000147533 ENSG00000158669
ENSG00000101266 ENSG00000125870
ENSG00000121578 ENSG00000177646
ENSG00000146670 ENSG00000161888
ENSG00000114520 ENSG00000163428
ENSG00000107796 ENSG00000112214
ENSG00000059691 ENSG00000133943
ENSG00000123485 ENSG00000169607
ENSG00000080802 ENSG00000105879
ENSG00000048392 ENSG00000161513
ENSG00000175792 ENSG00000177646
ENSG00000122203 ENSG00000197226
ENSG00000122741 ENSG00000167113
ENSG00000124216 ENSG00000171056
ENSG00000104299 ENSG00000104679
ENSG00000060762 ENSG00000153989
ENSG00000104756 ENSG00000147548
ENSG00000146670 ENSG00000164109
