ENSG00000058262 ENSG00000181789
ENSG00000153902 ENSG00000266964
ENSG00000137574 ENSG00000167904
ENSG00000120438 ENSG00000130024
ENSG00000143155 ENSG00000163159
ENSG00000159189 ENSG00000203747
ENSG00000119392 ENSG00000160445
ENSG00000104299 ENSG00000134014
ENSG00000142694 ENSG00000181029
ENSG00000112996 ENSG00000205765
ENSG00000113966 ENSG00000114021
ENSG00000112984 ENSG00000175063
ENSG00000089685 ENSG00000117650
ENSG00000130748 ENSG00000175602
ENSG00000276966 ENSG00000277224
ENSG00000126368 ENSG00000167074
ENSG00000112984 ENSG00000164611
ENSG00000124203 ENSG00000198851
ENSG00000101412 ENSG00000189057
ENSG00000089685 ENSG00000166851
ENSG00000168496 ENSG00000189057
ENSG00000134899 ENSG00000134900
ENSG00000093009 ENSG00000127564
ENSG00000117724 ENSG00000143228
ENSG00000137441 ENSG00000180644
ENSG00000147548 ENSG00000158669
ENSG00000082515 ENSG00000094880
ENSG00000132465 ENSG00000167077
ENSG00000036054 ENSG00000174173
ENSG00000101412 ENSG00000167513
ENSG00000143297 ENSG00000185155
ENSG00000120686 ENSG00000136152
ENSG00000153339 ENSG00000154832
ENSG00000125740 ENSG00000179388
ENSG00000126860 ENSG00000185862
ENSG00000009844 ENSG00000093144
ENSG00000120738 ENSG00000162772
ENSG00000154719 ENSG00000154723
ENSG00000224389 ENSG00000244731
ENSG00000153563 ENSG00000198851
ENSG00000143228 ENSG00000169607
ENSG00000166265 ENSG00000169744
ENSG00000138180 ENSG00000157456
ENSG00000117399 ENSG00000157456
ENSG00000113555 ENSG00000161940
ENSG00000075218 ENSG00000148773
ENSG00000119917 ENSG00000187608
ENSG00000118518 ENSG00000196591
ENSG00000112742 ENSG00000117724
ENSG00000157601 ENSG00000187608
ENSG00000135451 ENSG00000137807
ENSG00000177464 ENSG00000204950
ENSG00000105640 ENSG00000171858
ENSG00000180596 ENSG00000184678
ENSG00000076003 ENSG00000094804
ENSG00000173369 ENSG00000182578
ENSG00000166986 ENSG00000184575
ENSG00000100403 ENSG00000100413
ENSG00000147471 ENSG00000147548
ENSG00000115523 ENSG00000198574
ENSG00000099974 ENSG00000133433
ENSG00000083937 ENSG00000163320
ENSG00000253537 ENSG00000253731
ENSG00000100450 ENSG00000181036
ENSG00000091164 ENSG00000153339
ENSG00000051180 ENSG00000174371
ENSG00000129460 ENSG00000129484
ENSG00000143476 ENSG00000165244
ENSG00000024526 ENSG00000134690
ENSG00000134970 ENSG00000169570
ENSG00000105011 ENSG00000146670
ENSG00000012817 ENSG00000067646
ENSG00000145649 ENSG00000180644
ENSG00000104687 ENSG00000198042
ENSG00000113263 ENSG00000160654
ENSG00000085265 ENSG00000126759
ENSG00000117724 ENSG00000148773
ENSG00000100697 ENSG00000100796
ENSG00000117650 ENSG00000175063
ENSG00000120156 ENSG00000128567
ENSG00000153283 ENSG00000172673
ENSG00000117724 ENSG00000138778
ENSG00000088325 ENSG00000168078
ENSG00000147439 ENSG00000175324
ENSG00000156738 ENSG00000177455
ENSG00000066336 ENSG00000142347
ENSG00000147316 ENSG00000147457
ENSG00000104679 ENSG00000175324
ENSG00000124635 ENSG00000196787
ENSG00000131747 ENSG00000158402
ENSG00000142945 ENSG00000198901
ENSG00000161996 ENSG00000187535
ENSG00000112592 ENSG00000130023
ENSG00000170476 ENSG00000185155
ENSG00000131747 ENSG00000142945
ENSG00000127564 ENSG00000165304
ENSG00000149534 ENSG00000163751
ENSG00000067048 ENSG00000183878
ENSG00000117399 ENSG00000137807
ENSG00000138180 ENSG00000237649
